"","sentences","name","country","page","languages"
"2","pmg membership a key question is whether resource-poor and smallholder farmers benefit from pmgs. the results show that they do membership increases with per capita livestock wealth but decreases with per capita farmland. it also appears that ownership of communication technologies reduces the probability of participating in collective marketing, perhaps indicating that farmers who lack alternative sources of market information may view pmgs as repositories of such information. however, households with less contact with extension services were also less likely to join pmgs, as were those with less contact with ngos common providers of agricultural extension. ","pdfs/results/Collective action for poverty reduction/10.txt","8","10","en"
"3","governance of marketing groups an important aspect of governance of pmgs are the rules defining the norms of operations, roles, and responsibilities of various organs and members. all the pmgs have written bylaws governing the running of their groups. the by-laws put more emphasis more on the obligations of the members to the group but are relatively silent on the obligations of the group to members. for example, the by-laws require that members sell their grain through the pmg, make requisite payments and or contributions, prioritize farming of marketable crops, and contribute actively to the development of the group. fair and transparent elections are not also consistently practiced, reducing the confidence of members in the group leadership. ","pdfs/results/Collective action for poverty reduction/10.txt","8","10","en"
"4","performance of collective marketing groups are groups with higher degree of collective action also more effective in providing marketing functions? six indicators were identified for the levels of cooperation within pmgs the number of elections since formation, share of members respecting bylaws, attendance of meetings, annual member contributions, cash capital, and annual subscription fees. an analysis of these indicators reveals that the level of collective action varies. total assets built over time and total volume of grains traded provided indicators of marketing outcomes. the aggregate performance rankings were correlated with higher levels of collective action.","pdfs/results/Collective action for poverty reduction/10.txt","8","10","en"
"5","constraints to collective marketing the three most important constraints to collective marketing were cited as lack of credit, price variability, and low volumes. given the low level of market development and lack of service providers in many rural areas, pmgs are unlikely to prosper in a business as usual policy environment. policies that spur mpg growth would include an enabling legal framework, improved access to market information, support to strengthen business skills, and access to essential finance and credit facilities. in kenya, pmgs are registered as self-help groups shags but lack legal status as business enterprises, which restricts access to essential credit. lack of legal standing also means that pmgs can neither be sued nor sue in case of any liability. this drastically diminishes the incentive for financial institutions to do business with pmgs. ","pdfs/results/Collective action for poverty reduction/10.txt","8","10","en"
"6","pmgs would benefit from a legal framework that facilitates their transition to cooperative societies and a policy framework that seeks to promote, guide, and discipline the operation of markets under the liberalized environment. this may include laws dealing with adoption of quality grades and standards, good agricultural practices, and environmental and consumer protection issues.","pdfs/results/Collective action for poverty reduction/10.txt","8","10","en"
"8","with imperfect markets and limited institutions to support market functions, liberalization strategies have failed to integrate smallholder farmers in less favored areas into the market system. this analysis has shown that pmgs were able to pay higher prices to members and improve opportunities for resource-poor farmers to benefit from markets. pmgs improved market opportunities by bulking, storage, grading, sorting, and selling the produce. the links to secondary and tertiary markets were enhanced through better coordination of production and marketing activities. the pmgs do not benefit only wealthier farmers. on the contrary, the incentive for joining seems to be higher for those with less farmland.","pdfs/results/Collective action for poverty reduction/10.txt","8","10","en"
"9","nevertheless, only relatively successful pmgs were able to exploit this potential. the challenge is to mobilize farmers in participatory governance, provide start-up capital to pmgs, and provide training in business skills. in addition, pmgs need to be supported to transition into legal business entities to facilitate increased access to financial and other services from the formal sector. ","pdfs/results/Collective action for poverty reduction/10.txt","8","10","en"
"10","the effectiveness of the pmgs was hampered by their lack of cash capital to pay in time for produce deliveries. cash-constrained farmers found it difficult to delay cash payments, even when future prices would be higher. the ability of the pmgs to access working capital through access to credit is therefore critical. one strategy would be to explore the use of crop inventory as collateral for financial credit. another option would be to pay farmers a portion of the grain value at the time of delivery so that they can meet immediate needs while benefiting from better prices by delaying full payments. ","pdfs/results/Collective action for poverty reduction/10.txt","8","10","en"
"11","in addition, the establishment of a union of pmgs for expanding horizontal and vertical coordination of production and marketing activities may help address the problem of low volumes and price variability and make the groups economically attractive to financial institutions. the seasonal price differentials may also be exploited further through bulking and storage during periods of excess supply and selling when prices improve. these strategies should be pursued together with alternative options for smoothing supply through investments in drought mitigating and water harvesting techniques that would enable farmers in drought-prone areas manage production risk more effectively.","pdfs/results/Collective action for poverty reduction/10.txt","8","10","en"
"13","gideon bare ga.obare@yahoo.com is an associate professor, department of agricultural economics, overtone university and visiting scientist at ","pdfs/results/Collective action for poverty reduction/10.txt","8","10","en"
"17","the indian government accords high priority to integrated watershed management programs, especially in rain-fed and drought-prone areas. investment in integrated watershed management requires cooperation among stakeholders at different levels. the ability of communities to initiate and sustain collective action often depends on internal socioeconomic characteristics and the biophysical and socioeconomic setting. there is a lack of knowledge of the factors that influence the level and effectiveness of collective action within the context of community watershed programs. this study uses socioeconomic data from 8 7 watershed villages in six districts of rand pradesh, india, to develop indicators for the degree of collective action and examine its potential determinants. the study provides useful insights on how community institutions determine the level of collective action in watershed management and how such collective action is related to the overall performance and effectiveness of watershed interventions. ","pdfs/results/Collective action for poverty reduction/11.txt","8","11","en"
"31","some of the investment activities of watershed management include construction of check-dams for infiltrating surface water, terraces for soil and water conservation, and tree planting. watershed management potentially provides livelihood support for socially complex and diverse groups with differing entitlements and rights of access and use of resources. sustainable management of such resources requires institutional mechanisms for fostering cooperation and coordination of the resource use and investment decisions among diverse stakeholders. ","pdfs/results/Collective action for poverty reduction/11.txt","8","11","en"
"41","this study identifies two main components of collective action needed for the effectiveness of watershed management interventions. first are enabling institutions that enforce rules for operation and management of the various common assets and structures. these rules include mechanisms for conflict resolution, regulation of behavior, and agreed norms for sharing costs and benefits. second is organizational performance - local mechanisms for coordination and implementation of watershed activities, including user groups, committees, and associations that determine the objectives and basic structure of authority and decision-making. the level of collective action therefore defines the ability of the community to create operational frameworks to achieve the goals pursued by the community.","pdfs/results/Collective action for poverty reduction/11.txt","8","11","en"
