"","sentences","name","country","page","languages","legible","results"
"2","pmg membership a key question is whether resource poor and smallholder farmers benefit from pmgs. the results show that they do membership increases with per capita livestock wealth but decreases with per capita farmland. it also appears that ownership of communication technologies reduces the probability of participating in collective marketing, perhaps indicating that farmers who lack alternative sources of market information may view pmgs as repositories of such information. however, households with less contact with extension services were also less likely to join pmgs, as were those with less contact with ngos common providers of agricultural extension. ","Collective action for poverty reduction","8","10","en","Pmg membership a key question is whether resource-poor and smallholder farmers benefit from pmgs. The results show that they do membership increases with per capita livestock wealth but decreases with per capita farmland. It also appears that ownership of communication technologies reduces the probability of participating in collective marketing, perhaps indicating that farmers who lack alternative sources of market information may view PMGS as repositories of such information. However, households with less contact with extension services were also less likely to join pmgs, as were those with less contact with ngos common providers of agricultural extension.",0.409485486210502
"3","governance of marketing groups an important aspect of governance of pmgs are the rules defining the norms of operations, roles, and responsibilities of various organs and members. all the pmgs have written bylaws governing the running of their groups. the by laws put more emphasis more on the obligations of the members to the group but are relatively silent on the obligations of the group to members. for example, the by laws require that members sell their grain through the pmg, make requisite payments and or contributions, prioritize farming of marketable crops, and contribute actively to the development of the group. fair and transparent elections are not also consistently practiced, reducing the confidence of members in the group leadership. ","Collective action for poverty reduction","8","10","en","Governance of marketing groups an important aspect of governance of PMGS are the rules defining the norms of operations, roles, and responsibilities of various organs and members. All the PMGS have written bylaws governing the running of their groups. The by-laws put more emphasis more on the obligations of the members to the group but are relatively silent on the obligations of the group to members. For example, the by-laws require that members sell their grain through the pmg, make requisite payments and or contributions, prioritize farming of marketable crops, and contribute actively to the development of the group. Fair and transparent elections are not also consistently practiced, reducing the confidence of members in the group leadership.",0.407558407186636
"4","performance of collective marketing groups are groups with higher degree of collective action also more effective in providing marketing functions? six indicators were identified for the levels of cooperation within pmgs the number of elections since formation, share of members respecting bylaws, attendance of meetings, annual member contributions, cash capital, and annual subscription fees. an analysis of these indicators reveals that the level of collective action varies. total assets built over time and total volume of grains traded provided indicators of marketing outcomes. the aggregate performance rankings were correlated with higher levels of collective action.","Collective action for poverty reduction","8","10","en","Performance of collective marketing groups are groups with higher degree of collective action also more effective in providing marketing functions? Six indicators were identified for the levels of cooperation within PMGS the number of elections since formation, share of members respecting bylaws, attendance of meetings, annual member contributions, cash capital, and annual subscription fees. An analysis of these indicators reveals that the level of collective action varies. Total assets built over time and total volume of grains traded provided indicators of marketing outcomes. The aggregate performance rankings were correlated with higher levels of collective action.",0.357852480268244
"5","constraints to collective marketing the three most important constraints to collective marketing were cited as lack of credit, price variability, and low volumes. given the low level of market development and lack of service providers in many rural areas, pmgs are unlikely to prosper in a business as usual policy environment. policies that spur mpg growth would include an enabling legal framework, improved access to market information, support to strengthen business skills, and access to essential finance and credit facilities. in kenya, pmgs are registered as self help groups shags but lack legal status as business enterprises, which restricts access to essential credit. lack of legal standing also means that pmgs can neither be sued nor sue in case of any liability. this drastically diminishes the incentive for financial institutions to do business with pmgs. ","Collective action for poverty reduction","8","10","en","Constraints to collective marketing the three most important constraints to collective marketing were cited as lack of credit, price variability, and low volumes. Given the low level of market development and lack of service providers in many rural areas, PMGS are unlikely to prosper in a business as usual policy environment. Policies that spur MPG growth would include an enabling legal framework, improved access to market information, support to strengthen business skills, and access to essential finance and credit facilities. In kenya, PMGS are registered as self-help groups shags but lack legal status as business enterprises, which restricts access to essential credit. Lack of legal standing also means that PMGS can neither be sued nor sue in case of any liability. This drastically diminishes the incentive for financial institutions to do business with pmgs.",0.589448049519097
"6","pmgs would benefit from a legal framework that facilitates their transition to cooperative societies and a policy framework that seeks to promote, guide, and discipline the operation of markets under the liberalized environment. this may include laws dealing with adoption of quality grades and standards, good agricultural practices, and environmental and consumer protection issues.","Collective action for poverty reduction","8","10","en","Pmgs would benefit from a legal framework that facilitates their transition to cooperative societies and a policy framework that seeks to promote, guide, and discipline the operation of markets under the liberalized environment. This may include laws dealing with adoption of quality grades and standards, good agricultural practices, and environmental and consumer protection issues.",0.477501333792199
"8","with imperfect markets and limited institutions to support market functions, liberalization strategies have failed to integrate smallholder farmers in less favored areas into the market system. this analysis has shown that pmgs were able to pay higher prices to members and improve opportunities for resource poor farmers to benefit from markets. pmgs improved market opportunities by bulking, storage, grading, sorting, and selling the produce. the links to secondary and tertiary markets were enhanced through better coordination of production and marketing activities. the pmgs do not benefit only wealthier farmers. on the contrary, the incentive for joining seems to be higher for those with less farmland.","Collective action for poverty reduction","8","10","en","With imperfect markets and limited institutions to support market functions, liberalization strategies have failed to integrate smallholder farmers in less favored areas into the market system. This analysis has shown that PMGS were able to pay higher prices to members and improve opportunities for resource-poor farmers to benefit from markets. Pmgs improved market opportunities by bulking, storage, grading, sorting, and selling the produce. The links to secondary and tertiary markets were enhanced through better coordination of production and marketing activities. The PMGS do not benefit only wealthier farmers. On the contrary, the incentive for joining seems to be higher for those with less farmland.",0.548222545206391
"9","nevertheless, only relatively successful pmgs were able to exploit this potential. the challenge is to mobilize farmers in participatory governance, provide start up capital to pmgs, and provide training in business skills. in addition, pmgs need to be supported to transition into legal business entities to facilitate increased access to financial and other services from the formal sector. ","Collective action for poverty reduction","8","10","en","Nevertheless, only relatively successful PMGS were able to exploit this potential. The challenge is to mobilize farmers in participatory governance, provide start-up capital to pmgs, and provide training in business skills. In addition, PMGS need to be supported to transition into legal business entities to facilitate increased access to financial and other services from the formal sector.",0.496011298315701
"10","the effectiveness of the pmgs was hampered by their lack of cash capital to pay in time for produce deliveries. cash constrained farmers found it difficult to delay cash payments, even when future prices would be higher. the ability of the pmgs to access working capital through access to credit is therefore critical. one strategy would be to explore the use of crop inventory as collateral for financial credit. another option would be to pay farmers a portion of the grain value at the time of delivery so that they can meet immediate needs while benefiting from better prices by delaying full payments. ","Collective action for poverty reduction","8","10","en","The effectiveness of the PMGS was hampered by their lack of cash capital to pay in time for produce deliveries. Cash-constrained farmers found it difficult to delay cash payments, even when future prices would be higher. The ability of the PMGS to access working capital through access to credit is therefore critical. One strategy would be to explore the use of crop inventory as collateral for financial credit. Another option would be to pay farmers a portion of the grain value at the time of delivery so that they can meet immediate needs while benefiting from better prices by delaying full payments.",0.565213293096354
"11","in addition, the establishment of a union of pmgs for expanding horizontal and vertical coordination of production and marketing activities may help address the problem of low volumes and price variability and make the groups economically attractive to financial institutions. the seasonal price differentials may also be exploited further through bulking and storage during periods of excess supply and selling when prices improve. these strategies should be pursued together with alternative options for smoothing supply through investments in drought mitigating and water harvesting techniques that would enable farmers in drought prone areas manage production risk more effectively.","Collective action for poverty reduction","8","10","en","In addition, the establishment of a union of PMGS for expanding horizontal and vertical coordination of production and marketing activities may help address the problem of low volumes and price variability and make the groups economically attractive to financial institutions. The seasonal price differentials may also be exploited further through bulking and storage during periods of excess supply and selling when prices improve. These strategies should be pursued together with alternative options for smoothing supply through investments in drought mitigating and water harvesting techniques that would enable farmers in drought-prone areas manage production risk more effectively.",0.594007313391315
"13","gideon bare ga.obare@yahoo.com is an associate professor, department of agricultural economics, overtone university and visiting scientist at ","Collective action for poverty reduction","8","10","en","Gideon bare ga.obare@yahoo.com is an associate professor, department of agricultural economics, overtone university and visiting scientist at",0.105475982490866
